filename,width,height,class,xmin,ymin,xmax,ymax
105167 (2).jpg,512,70,0,21,23,68,60
105167 (2).jpg,512,70,0,70,20,111,63
105167 (2).jpg,512,70,7,120,22,162,63
105167 (2).jpg,512,70,0,164,22,204,60
105167 (2).jpg,512,70,7,214,22,251,69
105167 (2).jpg,512,70,0,257,24,299,59
105167 (2).jpg,512,70,2,305,21,348,62
105167 (2).jpg,512,70,0,351,20,393,59
105167.jpg,512,70,0,23,20,67,64
105167.jpg,512,70,0,71,19,116,60
105167.jpg,512,70,7,121,21,162,60
105167.jpg,512,70,0,164,20,202,59
105167.jpg,512,70,7,218,23,254,60
105167.jpg,512,70,0,259,22,301,61
105167.jpg,512,70,2,305,19,346,62
105167.jpg,512,70,0,351,18,396,62
10639.jpg,0,0,0,10,26,58,90
10639.jpg,0,0,0,55,31,98,93
10639.jpg,0,0,5,99,31,135,91
10639.jpg,0,0,8,134,33,177,87
10639.jpg,0,0,d,168,74,187,92
10639.jpg,0,0,4,184,36,223,87
10639.jpg,0,0,5,227,33,265,92
10639.jpg,0,0,8,265,34,308,92
10639.jpg,0,0,0,309,38,354,89
12427.jpg,512,135,0,25,43,68,101
12427.jpg,512,135,0,72,46,118,111
12427.jpg,512,135,9,115,43,164,116
12427.jpg,512,135,d,198,98,213,111
12427.jpg,512,135,8,163,47,210,109
12427.jpg,512,135,4,208,46,253,105
12427.jpg,512,135,5,258,46,302,111
12427.jpg,512,135,8,300,51,348,111
12427.jpg,512,135,0,353,52,395,114
20180806_141427.jpg,512,208,0,33,70,85,157
20180806_141427.jpg,512,208,0,83,70,128,155
20180806_141427.jpg,512,208,0,122,68,169,153
20180806_141427.jpg,512,208,4,165,65,209,150
20180806_141427.jpg,512,208,d,200,140,222,157
20180806_141427.jpg,512,208,4,215,81,259,153
20180806_141427.jpg,512,208,2,256,81,306,159
20180806_141427.jpg,512,208,0,304,85,348,168
20180806_141427.jpg,512,208,0,344,81,396,165
20180806_141433.jpg,512,229,0,43,84,93,175
20180806_141433.jpg,512,229,0,84,75,132,170
20180806_141433.jpg,512,229,5,128,79,168,172
20180806_141433.jpg,512,229,8,168,75,214,165
20180806_141433.jpg,512,229,d,207,154,232,175
20180806_141433.jpg,512,229,4,212,77,268,168
20180806_141433.jpg,512,229,5,262,77,307,159
20180806_141433.jpg,512,229,9,298,86,357,179
20180806_141433.jpg,512,229,0,341,88,393,170
20180806_141739.jpg,512,179,0,8,76,54,159
20180806_141739.jpg,512,179,0,52,75,97,158
20180806_141739.jpg,512,179,3,93,79,132,156
20180806_141739.jpg,512,179,1,144,81,176,156
20180806_141739.jpg,512,179,8,176,68,216,156
20180806_141739.jpg,512,179,5,219,70,258,154
20180806_141739.jpg,512,179,8,254,68,297,162
20180806_141739.jpg,512,179,7,310,67,343,140
20180806_141740.jpg,512,174,0,17,70,52,150
20180806_141740.jpg,512,174,0,57,63,94,155
20180806_141740.jpg,512,174,3,98,66,137,154
20180806_141740.jpg,512,174,1,161,69,175,153
20180806_141740.jpg,512,174,8,184,70,223,148
20180806_141740.jpg,512,174,5,233,66,267,151
20180806_141740.jpg,512,174,6,264,67,307,159
20180806_141740.jpg,512,174,7,305,65,348,153
20180806_141822.jpg,512,183,0,26,72,60,152
20180806_141822.jpg,512,183,0,60,75,99,149
20180806_141822.jpg,512,183,0,94,69,140,149
20180806_141822.jpg,512,183,0,137,67,176,142
20180806_141822.jpg,512,183,0,174,75,212,142
20180806_141822.jpg,512,183,0,222,69,252,142
20180806_141822.jpg,512,183,0,251,60,288,144
20180806_141822.jpg,512,183,0,285,60,326,147
20180806_141944.jpg,512,189,0,23,34,84,143
20180806_141944.jpg,512,189,1,87,48,139,143
20180806_141944.jpg,512,189,1,146,41,189,139
20180806_141944.jpg,512,189,8,178,48,230,152
20180806_141944.jpg,512,189,6,228,43,280,148
20180806_141944.jpg,512,189,2,280,41,328,150
20180806_141944.jpg,512,189,8,328,41,387,152
20180806_141948.jpg,512,227,8,99,75,171,161
20180806_141948.jpg,512,227,3,166,80,224,175
20180806_141948.jpg,512,227,8,205,82,266,183
20180806_141948.jpg,512,227,8,262,96,315,197
20180806_141948.jpg,512,227,5,322,97,371,202
20180806_141948.jpg,512,227,0,369,108,432,203
20180806_142037.jpg,512,193,7,143,47,191,145
20180806_142037.jpg,512,193,3,182,50,239,152
20180806_142037.jpg,512,193,2,234,54,293,147
20180806_142037.jpg,512,193,3,282,50,341,152
20180806_142037.jpg,512,193,1,350,54,393,147
20180806_142037.jpg,512,193,8,387,50,459,160
20180806_142041.jpg,512,154,1,159,48,187,125
20180806_142041.jpg,512,154,7,182,43,232,127
20180806_142041.jpg,512,154,3,230,41,287,130
20180806_142041.jpg,512,154,1,296,39,334,121
20180806_142041.jpg,512,154,4,325,43,384,125
20180806_142041.jpg,512,154,5,380,48,423,134
20180806_142041156.jpg,512,224,d,288,138,297,150
20180806_142041156.jpg,512,224,1,153,80,175,150
20180806_142041156.jpg,512,224,7,177,77,213,148
20180806_142041156.jpg,512,224,3,216,78,255,155
20180806_142041156.jpg,512,224,1,279,83,296,148
20180806_142041156.jpg,512,224,4,298,80,339,151
20180806_142041156.jpg,512,224,6,340,78,375,152
20180806_142049.jpg,512,191,2,200,60,243,149
20180806_142049.jpg,512,191,9,241,62,284,144
20180806_142049.jpg,512,191,9,284,58,334,144
20180806_142049.jpg,512,191,3,328,62,375,156
20180806_142055.jpg,512,194,d,255,130,267,146
20180806_142055.jpg,512,194,0,212,61,259,144
20180806_142055.jpg,512,194,1,287,57,305,142
20180806_142055.jpg,512,194,6,309,63,351,147
20180806_142055.jpg,512,194,9,356,56,400,151
56173.jpg,512,112,0,7,50,44,101
56173.jpg,512,112,0,53,48,89,100
56173.jpg,512,112,3,95,44,133,100
56173.jpg,512,112,1,154,39,177,102
56173.jpg,512,112,8,176,40,215,100
56173.jpg,512,112,d,253,91,263,99
56173.jpg,512,112,5,222,43,252,99
56173.jpg,512,112,8,267,47,295,99
56173.jpg,512,112,7,303,39,340,98
91181 (2).jpg,512,63,0,10,18,61,56
91181 (2).jpg,512,63,0,63,14,106,54
91181 (2).jpg,512,63,7,115,14,158,54
91181 (2).jpg,512,63,0,159,14,200,56
91181 (2).jpg,512,63,7,214,16,251,53
91181 (2).jpg,512,63,0,258,17,300,56
91181 (2).jpg,512,63,2,307,17,350,57
91181 (2).jpg,512,63,0,353,16,399,55
91181.jpg,512,63,0,15,14,58,58
91181.jpg,512,63,0,62,17,112,58
